model_name,domain,trial,temperature,optimizer,seed,runtime_seconds,final_throughput,success,initial_feasible,feasible,total_partitions,avg_partition_size,max_partition_resource_util,total_folding_moves,total_partition_moves,partition_moves_accepted,folding_moves_accepted,best_iteration_index,final_DSP,final_BRAM,final_LUT,final_FF,error
dense_seg,semantic_segmentation,1,20.0,Simulated Annealing,3909781178,2.3903512954711914,0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,
dense_seg,semantic_segmentation,2,20.0,Simulated Annealing,3909781179,1.140878438949585,0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,
dense_seg,semantic_segmentation,3,20.0,Simulated Annealing,3909781180,0.2532052993774414,0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,
dense_seg,semantic_segmentation,1,50.0,Simulated Annealing,3909781268,3.0831539630889893,0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,
dense_seg,semantic_segmentation,2,50.0,Simulated Annealing,3909781269,2.2483179569244385,0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,
dense_seg,semantic_segmentation,3,50.0,Simulated Annealing,3909781270,0.9334790706634521,0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,
srcnn,super_resolution,1,NA,Rule-Based,1295232486,2.3626787662506104,3.2524741164044216e-05,True,True,True,3,1.6666666666666667,0.0,NA,NA,NA,NA,NA,1132,1478,133682,157506,
srcnn,super_resolution,2,NA,Rule-Based,1295232487,2.5001702308654785,3.2524741164044216e-05,True,True,True,3,1.6666666666666667,0.0,NA,NA,NA,NA,NA,1132,1478,133682,157506,
srcnn,super_resolution,3,NA,Rule-Based,1295232488,2.708275556564331,3.2524741164044216e-05,True,True,True,3,1.6666666666666667,0.0,NA,NA,NA,NA,NA,1132,1478,133682,157506,
srcnn,super_resolution,1,10.0,Simulated Annealing,1295232546,20.13757300376892,8.828031870298555e-07,True,True,True,2,2.5,0.0,165504,18296,2990,27010,1327,68,550,135738,156923,
srcnn,super_resolution,2,10.0,Simulated Annealing,1295232547,21.022472143173218,2.0907452320777126e-06,True,True,True,2,2.5,0.0,165401,18399,2823,26077,1175,249,787,219496,263500,
srcnn,super_resolution,3,10.0,Simulated Annealing,1295232548,21.951797008514404,3.1051003337874183e-06,True,True,True,3,1.6666666666666667,0.0,165417,18383,2861,24739,953,409,869,84167,95721,
srcnn,super_resolution,1,20.0,Simulated Annealing,1295232576,23.04547929763794,1.0241159305787758e-06,True,True,True,2,2.5,0.0,177934,19666,2932,27068,1380,227,622,108673,123834,
srcnn,super_resolution,2,20.0,Simulated Annealing,1295232577,24.651102304458618,3.188223294882946e-07,True,True,True,5,1.0,0.0,177543,20057,3191,28509,356,203,476,47446,55956,
srcnn,super_resolution,3,20.0,Simulated Annealing,1295232578,22.971717596054077,1.6512662694105317e-05,True,True,True,3,1.6666666666666667,0.0,178029,19571,3263,29437,50,563,991,153035,181197,
srcnn,super_resolution,1,50.0,Simulated Annealing,1295232666,24.656523942947388,3.952158996779218e-06,True,True,True,4,1.25,0.0,194485,21415,3680,33920,837,348,734,231911,275187,
srcnn,super_resolution,2,50.0,Simulated Annealing,1295232667,25.633556365966797,2.085869750950489e-06,True,True,True,1,5.0,0.0,194232,21668,3310,29890,699,57,365,32971,38815,
srcnn,super_resolution,3,50.0,Simulated Annealing,1295232668,24.811707019805908,4.378790240465174e-07,True,True,True,2,2.5,0.0,194158,21742,3539,31961,1842,108,580,75827,88686,
vdsr,super_resolution,1,NA,Rule-Based,2269293320,174.66847133636475,2.678899414359102e-06,True,True,True,19,1.9473684210526316,0.0,NA,NA,NA,NA,NA,5544,7404,1634844,1962585,
vdsr,super_resolution,2,NA,Rule-Based,2269293321,174.05902433395386,2.678899414359102e-06,True,True,True,19,1.9473684210526316,0.0,NA,NA,NA,NA,NA,5544,7404,1634844,1962585,
vdsr,super_resolution,3,NA,Rule-Based,2269293322,173.8355209827423,2.678899414359102e-06,True,True,True,19,1.9473684210526316,0.0,NA,NA,NA,NA,NA,5544,7404,1634844,1962585,
vdsr,super_resolution,1,10.0,Simulated Annealing,2269293380,77.97923755645752,1.7197315489473182e-08,True,True,True,36,1.0277777777777777,0.0,165446,18354,7,93,482,260,1768,459617,572003,
vdsr,super_resolution,2,10.0,Simulated Annealing,2269293381,81.5218288898468,2.5559048100650185e-08,True,True,True,33,1.121212121212121,0.0,165404,18396,8,92,120,557,2090,778133,965554,
